ChassisCode,Manufacturer,Model,YearOfManufacture,Cost,Mileage,FuelConsumed
I1Y9HNIMESHU,Ford,Focus,2016,"9497,00",7135,373
571VIXS34I71,Ford,C-Max,2016,"4812,00",9823,532
UTQYXSB44JGE,Toyota,Corolla,2018,"2006,00",659,0
6T7HDCTIV0BZ,Toyota,Auris,2015,"13743,00",20026,815
336J4Q7ZFI4E,Skoda,Superb,2017,"3166,00",6474,385
5SX28LAN2LPK,Ford,Focus,2015,"5858,00",13492,647
MHLI99XWS3OL,Skoda,Octavia,2018,"1023,00",1465,0
TN2VWMC54JP1,Skoda,Superb,2018,"1194,00",446,0
TZ1UXM08X7ZU,Ford,Focus,2015,"6823,00",10776,667
0UYVWETOC5C7,Toyota,Corolla,2017,"4389,00",5138,224
4VZLW2GQ7JUC,Ford,C-Max,2017,"3802,00",5781,216
NAJIA1OE0C2B,Ford,Mondeo,2016,"8742,00",9059,498
HS11MIV1AR8W,Ford,Focus,2017,"4277,00",8118,362
TIZOCIKJINBR,Skoda,Superb,2018,"3704,00",47,0
E5RQAGK8NWGE,Skoda,Superb,2017,"5618,00",4630,229
